cust_id,total_tickets,resolved_tickets,fcr_flag,fcr_score
CUST_0001,4,4,1,1.0
CUST_0002,6,6,1,1.0
CUST_0003,6,6,1,1.0
CUST_0004,5,5,1,1.0
CUST_0005,6,6,1,1.0
CUST_0006,6,6,1,1.0
CUST_0007,6,6,1,1.0
CUST_0008,2,2,1,1.0
CUST_0009,3,3,1,1.0
CUST_0010,8,8,1,1.0
CUST_0011,8,8,1,1.0
CUST_0012,4,4,1,1.0
CUST_0013,4,4,1,1.0
CUST_0014,1,1,1,1.0
CUST_0015,7,7,1,1.0
CUST_0016,5,5,1,1.0
CUST_0017,5,5,1,1.0
CUST_0018,4,4,1,1.0
CUST_0019,5,5,1,1.0
CUST_0020,2,2,1,1.0
CUST_0021,5,5,1,1.0
CUST_0022,5,5,1,1.0
CUST_0023,4,4,1,1.0
CUST_0024,2,2,1,1.0
CUST_0025,9,9,1,1.0
CUST_0026,4,4,1,1.0
CUST_0027,6,6,1,1.0
CUST_0028,4,4,1,1.0
CUST_0029,4,4,1,1.0
CUST_0030,8,8,1,1.0
CUST_0031,7,7,1,1.0
CUST_0032,8,8,1,1.0
CUST_0033,5,5,1,1.0
CUST_0034,4,4,1,1.0
CUST_0035,3,3,1,1.0
CUST_0036,8,8,1,1.0
CUST_0037,5,5,1,1.0
CUST_0038,6,6,1,1.0
CUST_0039,4,4,1,1.0
CUST_0040,8,8,1,1.0
CUST_0041,9,9,1,1.0
CUST_0043,4,4,1,1.0
CUST_0044,2,2,1,1.0
CUST_0045,8,8,1,1.0
CUST_0046,3,3,1,1.0
CUST_0047,3,3,1,1.0
CUST_0048,2,2,1,1.0
CUST_0049,6,6,1,1.0
CUST_0050,3,3,1,1.0
CUST_0051,6,6,1,1.0
CUST_0052,1,1,1,1.0
CUST_0053,2,2,1,1.0
CUST_0054,3,3,1,1.0
CUST_0055,4,4,1,1.0
CUST_0056,10,10,1,1.0
CUST_0057,1,1,1,1.0
CUST_0058,6,6,1,1.0
CUST_0059,3,3,1,1.0
CUST_0060,7,7,1,1.0
CUST_0061,2,2,1,1.0
CUST_0062,5,5,1,1.0
CUST_0063,9,9,1,1.0
CUST_0064,4,4,1,1.0
CUST_0065,2,2,1,1.0
CUST_0066,7,7,1,1.0
CUST_0067,5,5,1,1.0
CUST_0068,5,5,1,1.0
CUST_0069,5,5,1,1.0
CUST_0070,7,7,1,1.0
CUST_0071,2,2,1,1.0
CUST_0072,9,9,1,1.0
CUST_0073,4,4,1,1.0
CUST_0074,7,7,1,1.0
CUST_0075,3,3,1,1.0
CUST_0076,4,4,1,1.0
CUST_0077,6,6,1,1.0
CUST_0078,3,3,1,1.0
CUST_0079,4,4,1,1.0
CUST_0080,7,7,1,1.0
CUST_0081,11,11,1,1.0
CUST_0082,7,7,1,1.0
CUST_0083,7,7,1,1.0
CUST_0084,4,4,1,1.0
CUST_0085,3,3,1,1.0
CUST_0086,2,2,1,1.0
CUST_0087,3,3,1,1.0
CUST_0088,9,9,1,1.0
CUST_0089,6,6,1,1.0
CUST_0090,6,6,1,1.0
CUST_0091,5,5,1,1.0
CUST_0092,2,2,1,1.0
CUST_0093,6,6,1,1.0
CUST_0094,5,5,1,1.0
CUST_0095,10,10,1,1.0
CUST_0096,7,7,1,1.0
CUST_0097,1,1,1,1.0
CUST_0098,2,2,1,1.0
CUST_0099,11,11,1,1.0
CUST_0100,8,8,1,1.0
CUST_0101,4,4,1,1.0
CUST_0102,8,8,1,1.0
CUST_0103,3,3,1,1.0
CUST_0104,4,4,1,1.0
CUST_0105,8,8,1,1.0
CUST_0106,4,4,1,1.0
CUST_0107,5,5,1,1.0
CUST_0108,9,9,1,1.0
CUST_0109,8,8,1,1.0
CUST_0110,4,4,1,1.0
CUST_0111,6,6,1,1.0
CUST_0112,2,2,1,1.0
CUST_0113,3,3,1,1.0
CUST_0114,4,4,1,1.0
CUST_0115,2,2,1,1.0
CUST_0116,4,4,1,1.0
CUST_0117,4,4,1,1.0
CUST_0118,3,3,1,1.0
CUST_0119,2,2,1,1.0
CUST_0120,3,3,1,1.0
CUST_0121,6,6,1,1.0
CUST_0122,4,4,1,1.0
CUST_0123,7,7,1,1.0
CUST_0124,7,7,1,1.0
CUST_0125,5,5,1,1.0
CUST_0126,8,8,1,1.0
CUST_0127,5,5,1,1.0
CUST_0128,5,5,1,1.0
CUST_0129,2,2,1,1.0
CUST_0130,3,3,1,1.0
CUST_0131,5,5,1,1.0
CUST_0132,5,5,1,1.0
CUST_0133,8,8,1,1.0
CUST_0134,5,5,1,1.0
CUST_0135,6,6,1,1.0
CUST_0136,3,3,1,1.0
CUST_0137,2,2,1,1.0
CUST_0138,1,1,1,1.0
CUST_0139,8,8,1,1.0
CUST_0140,4,4,1,1.0
CUST_0141,6,6,1,1.0
CUST_0142,4,4,1,1.0
CUST_0143,4,4,1,1.0
CUST_0144,6,6,1,1.0
CUST_0145,6,6,1,1.0
CUST_0146,9,9,1,1.0
CUST_0147,14,14,1,1.0
CUST_0148,4,4,1,1.0
CUST_0149,10,10,1,1.0
CUST_0150,5,5,1,1.0
CUST_0151,6,6,1,1.0
CUST_0152,8,8,1,1.0
CUST_0153,6,6,1,1.0
CUST_0154,5,5,1,1.0
CUST_0155,1,1,1,1.0
CUST_0156,7,7,1,1.0
CUST_0157,4,4,1,1.0
CUST_0158,6,6,1,1.0
CUST_0159,4,4,1,1.0
CUST_0160,4,4,1,1.0
CUST_0161,4,4,1,1.0
CUST_0162,6,6,1,1.0
CUST_0163,4,4,1,1.0
CUST_0164,4,4,1,1.0
CUST_0165,6,6,1,1.0
CUST_0166,6,6,1,1.0
CUST_0167,6,6,1,1.0
CUST_0168,5,5,1,1.0
CUST_0169,7,7,1,1.0
CUST_0170,4,4,1,1.0
CUST_0171,3,3,1,1.0
CUST_0172,4,4,1,1.0
CUST_0173,2,2,1,1.0
CUST_0174,8,8,1,1.0
CUST_0175,6,6,1,1.0
CUST_0176,5,5,1,1.0
CUST_0177,6,6,1,1.0
CUST_0178,7,7,1,1.0
CUST_0179,3,3,1,1.0
CUST_0180,4,4,1,1.0
CUST_0181,2,2,1,1.0
CUST_0182,5,5,1,1.0
CUST_0183,9,9,1,1.0
CUST_0184,5,5,1,1.0
CUST_0185,2,2,1,1.0
