tower_id,hour_id,drop_call_rate,utilization_pct
TWR_341,2025-05-16 13:39:21,72.76,98.15
TWR_385,2025-01-14 01:06:15,51.47,86.2
TWR_104,2025-11-12 23:42:49,17.12,74.7
TWR_202,2025-06-07 09:21:56,96.71,66.56
TWR_398,2025-02-14 21:50:53,3.82,0.1
TWR_420,2025-11-19 02:08:23,60.46,40.56
TWR_274,2025-03-28 09:13:46,0.57,13.86
TWR_451,2025-06-14 07:18:04,94.2,54.29
TWR_452,2025-01-27 09:45:32,84.83,30.76
TWR_425,2025-08-18 04:25:55,78.47,80.82
TWR_413,2025-02-18 06:23:50,86.13,6.21
TWR_462,2025-12-24 13:44:11,3.72,3.61
TWR_320,2025-08-23 12:01:15,68.47,50.4
TWR_240,2025-04-11 14:26:01,29.15,72.9
TWR_377,2025-05-01 00:00:29,73.95,48.14
TWR_297,2025-09-22 13:51:13,17.94,47.46
TWR_065,2025-12-10 01:02:37,77.36,7.67
TWR_461,2025-10-14 11:36:01,57.35,60.18
TWR_485,2025-11-07 02:43:58,70.53,96.3
TWR_170,2025-01-16 03:09:10,50.35,49.55
TWR_483,2025-12-22 00:18:03,42.5,35.44
TWR_064,2025-06-01 19:53:53,2.53,30.28
TWR_114,2025-03-05 13:07:26,30.26,46.78
TWR_370,2025-05-23 14:53:47,24.49,72.88
TWR_219,2025-12-18 21:18:12,57.01,68.06
TWR_014,2025-01-20 14:14:27,58.54,69.97
TWR_375,2025-08-15 11:35:03,88.5,2.76
TWR_282,2025-03-08 05:38:33,78.65,21.28
TWR_471,2025-05-07 13:49:03,1.62,20.21
TWR_495,2025-06-11 17:37:55,61.75,77.09
TWR_268,2025-05-03 07:47:51,40.5,40.45
TWR_131,2025-05-23 18:32:26,26.93,85.15
TWR_158,2025-10-06 11:52:51,9.98,1.95
TWR_459,2025-09-11 13:09:43,50.62,65.99
TWR_270,2025-02-07 06:23:52,38.09,69.61
TWR_363,2025-04-30 10:50:43,40.04,41.31
TWR_400,2025-10-19 21:40:59,69.29,30.52
TWR_103,2025-04-03 14:17:39,94.77,85.04
TWR_434,2025-07-10 19:25:36,19.68,61.63
TWR_361,2025-01-28 20:16:05,56.09,39.84
TWR_137,2025-01-31 13:04:12,49.27,20.9
TWR_088,2025-04-23 17:09:51,66.03,20.04
TWR_208,2025-11-03 02:49:24,31.97,86.52
TWR_066,2025-12-02 22:53:54,13.37,78.56
TWR_459,2025-04-22 16:06:52,43.0,75.77
TWR_467,2025-01-12 11:05:31,79.62,59.74
TWR_475,2025-08-18 09:26:02,69.07,70.77
TWR_463,2025-11-02 08:23:59,33.54,86.59
TWR_138,2025-05-25 05:41:06,26.43,31.32
TWR_266,2025-11-24 01:35:37,80.92,71.45
TWR_460,2025-12-26 13:07:08,44.53,81.09
TWR_117,2025-12-12 22:11:47,78.32,49.27
TWR_135,2025-06-27 05:13:15,53.95,20.03
TWR_336,2025-05-26 18:07:20,61.49,16.27
TWR_221,2025-05-29 01:44:55,71.78,93.61
TWR_314,2025-06-08 16:19:19,55.99,34.09
TWR_254,2025-04-11 17:00:32,17.28,35.93
